0 1 0 0 1 2
0.000523  0.999992 0.0020538         0         1         2
0.000524   0.999992 0.00205773          0          1          2
0.000525   0.999991 0.00206165          0          1          2
0.000526   0.999991 0.00206558          0          1          2
0.000527   0.999991 0.00206951          0          1          2
0.000528   0.999991 0.00207344          0          1          2
0.000529   0.999991 0.00207736          0          1          2
0.00053   0.999991 0.00208129          0          1          2
0.000531   0.999991 0.00208522          0          1          2
0.000532   0.999991 0.00208914          0          1          2
0.000533   0.999991 0.00209307          0          1          2
0.000534 0.999991 0.002097        0        1        2
0.000535   0.999991 0.00210092          0          1          2
0.000536   0.999991 0.00210485          0          1          2
0.000537   0.999991 0.00210878          0          1          2
0.000538  0.999991 0.0021127         0         1         2
0.000539   0.999991 0.00211663          0          1          2
0.00054   0.999991 0.00212056          0          1          2
0.000541   0.999991 0.00212449          0          1          2
0.000542   0.999991 0.00212841          0          1          2
0.000543   0.999991 0.00213234          0          1          2
0.000544   0.999991 0.00213627          0          1          2
0.000545   0.999991 0.00214019          0          1          2
0.000546   0.999991 0.00214412          0          1          2
0.000547   0.999991 0.00214805          0          1          2
0.000548   0.999991 0.00215197          0          1          2
0.000549  0.999991 0.0021559         0         1         2
0.00055   0.999991 0.00215983          0          1          2
0.000551   0.999991 0.00216375          0          1          2
0.000552   0.999991 0.00216768          0          1          2
0.000553   0.999991 0.00217161          0          1          2
0.000554   0.999991 0.00217553          0          1          2
0.000555    0.99999 0.00217946          0          1          2
0.000556    0.99999 0.00218339          0          1          2
0.000557    0.99999 0.00218732          0          1          2
0.000558    0.99999 0.00219124          0          1          2
0.000559    0.99999 0.00219517          0          1          2
0.00056   0.99999 0.0021991         0         1         2
0.000561    0.99999 0.00220302          0          1          2
0.000562    0.99999 0.00220695          0          1          2
0.000563    0.99999 0.00221088          0          1          2
0.000564   0.99999 0.0022148         0         1         2
0.000565    0.99999 0.00221873          0          1          2
0.000566    0.99999 0.00222266          0          1          2
0.000567    0.99999 0.00222658          0          1          2
0.000568    0.99999 0.00223051          0          1          2
0.000569    0.99999 0.00223444          0          1          2
0.00057    0.99999 0.00223837          0          1          2
0.000571    0.99999 0.00224229          0          1          2
0.000572    0.99999 0.00224622          0          1          2
0.000573    0.99999 0.00225015          0          1          2
0.000574    0.99999 0.00225407          0          1          2
0.000575  0.99999 0.002258        0        1        2
0.000576    0.99999 0.00226193          0          1          2
0.000577    0.99999 0.00226585          0          1          2
0.000578    0.99999 0.00226978          0          1          2
0.000579    0.99999 0.00227371          0          1          2
0.00058    0.99999 0.00227763          0          1          2
0.000581    0.99999 0.00228156          0          1          2
0.000582    0.99999 0.00228549          0          1          2
0.000583    0.99999 0.00228941          0          1          2
0.000584   0.999989 0.00229334          0          1          2
0.000585   0.999989 0.00229727          0          1          2
0.000586  0.999989 0.0023012         0         1         2
0.000587   0.999989 0.00230512          0          1          2
0.000588   0.999989 0.00230905          0          1          2
0.000589   0.999989 0.00231298          0          1          2
0.00059  0.999989 0.0023169         0         1         2
0.000591   0.999989 0.00232083          0          1          2
0.000592   0.999989 0.00232476          0          1          2
0.000593   0.999989 0.00232868          0          1          2
0.000594   0.999989 0.00233261          0          1          2
0.000595   0.999989 0.00233654          0          1          2
0.000596   0.999989 0.00234046          0          1          2
0.000597   0.999989 0.00234439          0          1          2
0.000598   0.999989 0.00234832          0          1          2
0.000599   0.999989 0.00235224          0          1          2
0.0006   0.999989 0.00235617          0          1          2
0.000601  0.999989 0.0023601         0         1         2
0.000602   0.999989 0.00236403          0          1          2
0.000603   0.999989 0.00236795          0          1          2
0.000604   0.999989 0.00237188          0          1          2
0.000605   0.999989 0.00237581          0          1          2
0.000606   0.999989 0.00237973          0          1          2
0.000607   0.999989 0.00238366          0          1          2
0.000608   0.999989 0.00238759          0          1          2
0.000609   0.999989 0.00239151          0          1          2
0.00061   0.999989 0.00239544          0          1          2
0.000611   0.999988 0.00239937          0          1          2
0.000612   0.999988 0.00240329          0          1          2
0.000613   0.999988 0.00240722          0          1          2
0.000614   0.999988 0.00241115          0          1          2
0.000615   0.999988 0.00241507          0          1          2
0.000616 0.999988 0.002419        0        1        2
0.000617   0.999988 0.00242293          0          1          2
0.000618   0.999988 0.00242686          0          1          2
0.000619   0.999988 0.00243078          0          1          2
0.00062   0.999988 0.00243471          0          1          2
0.000621   0.999988 0.00243864          0          1          2
0.000622   0.999988 0.00244256          0          1          2
0.000623   0.999988 0.00244649          0          1          2
0.000624   0.999988 0.00245042          0          1          2
0.000625   0.999988 0.00245434          0          1          2
0.000626   0.999988 0.00245827          0          1          2
0.000627  0.999988 0.0024622         0         1         2
0.000628   0.999988 0.00246612          0          1          2
0.000629   0.999988 0.00247005          0          1          2
0.00063   0.999988 0.00247398          0          1          2
0.000631  0.999988 0.0024779         0         1         2
0.000632   0.999988 0.00248183          0          1          2
0.000633   0.999988 0.00248576          0          1          2
0.000634   0.999988 0.00248969          0          1          2
0.000635   0.999988 0.00249361          0          1          2
0.000636   0.999988 0.00249754          0          1          2
0.000637   0.999987 0.00250147          0          1          2
0.000638   0.999987 0.00250539          0          1          2
0.000639   0.999987 0.00250932          0          1          2
0.00064   0.999987 0.00251325          0          1          2
